Year,male.central,lower.malecentral,upper.malecentral,female.central,lower.femalecentral,upper.femaelcentral,male.east,lower.maleeast,upper.maleeast,female.east,lower.femaleeast,upper.femaleeast
1,1.952,1.19,2.84,3.47,2.35,4.95,1.834,1.1,2.79,3.263,2.36,4.47
2,2.02,1.48,2.68,3.456,2.54,4.64,1.858,1.35,2.53,3.122,2.33,4.13
3,2.115,1.58,2.78,3.446,2.57,4.58,1.752,1.29,2.34,2.947,2.24,3.83
4,2.094,1.57,2.75,3.325,2.49,4.39,1.617,1.19,2.12,2.559,1.94,3.28
5,1.939,1.44,2.55,3.059,2.27,4.05,1.645,1.25,2.12,2.474,1.91,3.13
6,1.918,1.42,2.54,3.001,2.15,4.04,1.572,1.23,1.98,2.298,1.75,2.93
7,1.496,1.11,1.97,2.416,1.84,3.11,1.564,1.24,1.95,2.436,1.9,3.08
8,1.41,1.05,1.84,2.584,1.97,3.32,1.563,1.24,1.96,2.616,2.06,3.29
9,1.556,1.19,2.01,3.11,2.38,4.02,1.609,1.28,1.99,2.784,2.21,3.5
10,1.908,1.48,2.43,3.525,2.77,4.48,1.568,1.26,1.93,2.773,2.21,3.4
11,2.033,1.58,2.57,3.975,3.07,5.34,1.591,1.28,1.96,3.046,2.45,3.75
12,2.41,1.89,3.01,4.27,3.37,5.46,1.667,1.33,2.06,3.284,2.63,4.09
13,2.51,1.96,3.13,4.174,3.29,5.27,1.684,1.35,2.08,3.366,2.68,4.19
14,2.303,1.8,2.88,4.041,3.17,5.13,1.721,1.37,2.11,3.159,2.51,3.95
15,2.472,1.94,3.09,4.423,3.48,5.61,1.723,1.38,2.13,3.099,2.48,3.85
16,2.687,2.12,3.34,4.556,3.62,5.71,1.587,1.26,1.97,2.98,2.36,3.72
17,2.715,2.14,3.36,4.268,3.39,5.37,1.586,1.26,1.97,2.901,2.3,3.63
18,2.588,2.03,3.22,4.012,3.12,5.14,1.54,1.21,1.92,2.755,2.16,3.45
19,2.413,1.89,3.01,3.703,2.89,4.68,1.581,1.25,1.97,2.515,1.96,3.18
20,2.1,1.61,2.66,3.313,2.52,4.24,1.386,1.07,1.74,2.538,1.98,3.21
21,1.84,1.4,2.34,3.027,2.34,3.9,1.409,1.09,1.77,2.44,1.9,3.09
22,1.961,1.52,2.46,2.993,2.33,3.8,1.36,1.06,1.71,2.387,1.85,3.04
23,1.923,1.49,2.43,3.146,2.45,3.99,1.315,1.02,1.67,2.348,1.82,2.99
24,2.05,1.59,2.59,3.598,2.79,4.69,1.327,1.03,1.68,2.337,1.81,2.97
25,2.157,1.67,2.72,3.705,2.89,4.71,1.3,1.01,1.64,2.429,1.88,3.14
26,2.078,1.61,2.62,3.549,2.76,4.52,1.272,0.98,1.62,2.409,1.88,3.06
27,1.984,1.53,2.52,3.208,2.5,4.05,1.304,1.01,1.65,2.285,1.78,2.91
28,1.906,1.47,2.4,3.116,2.42,3.98,1.272,0.98,1.61,2.111,1.63,2.7
29,1.983,1.54,2.51,2.927,2.28,3.74,1.243,0.96,1.58,1.965,1.51,2.53
30,1.816,1.39,2.31,2.886,2.24,3.69,1.07,0.81,1.38,2.003,1.53,2.58
31,1.658,1.26,2.12,2.79,2.14,3.61,1.025,0.78,1.32,1.94,1.47,2.49
32,1.616,1.23,2.06,2.723,2.1,3.48,0.981,0.74,1.27,1.943,1.48,2.5
33,1.478,1.14,1.89,2.661,2.03,3.44,0.975,0.74,1.26,1.931,1.46,2.49
34,1.453,1.11,1.86,2.296,1.71,2.99,0.992,0.75,1.28,1.844,1.4,2.37
35,1.3,0.98,1.67,2.222,1.7,2.88,0.977,0.74,1.26,1.742,1.3,2.23
36,1.299,0.98,1.67,2.224,1.7,2.87,0.987,0.74,1.27,1.726,1.29,2.24
37,1.274,0.96,1.65,2.153,1.65,2.77,0.973,0.73,1.27,1.642,1.23,2.11
38,1.268,0.94,1.66,1.974,1.49,2.57,0.971,0.73,1.26,1.583,1.17,2.06
39,1.16,0.85,1.52,1.947,1.45,2.59,0.89,0.66,1.17,1.59,1.18,2.07
40,1.194,0.88,1.57,1.882,1.39,2.48,0.88,0.65,1.15,1.553,1.15,2.03
41,1.094,0.81,1.46,1.991,1.47,2.65,0.849,0.63,1.12,1.587,1.17,2.08
42,1.043,0.76,1.39,1.969,1.48,2.59,0.891,0.66,1.17,1.568,1.17,2.06
43,1.135,0.83,1.51,2.13,1.6,2.8,0.9,0.67,1.18,1.579,1.18,2.07
44,1.146,0.84,1.51,2.072,1.55,2.71,0.854,0.63,1.13,1.582,1.18,2.06
45,1.23,0.9,1.65,2.245,1.67,3.01,0.798,0.58,1.05,1.615,1.21,2.11
46,1.106,0.8,1.49,2.074,1.52,2.76,0.833,0.62,1.09,1.597,1.19,2.08
47,1.008,0.73,1.35,1.93,1.42,2.57,0.855,0.63,1.12,1.604,1.2,2.08
48,1.112,0.81,1.49,2.105,1.56,2.8,0.847,0.63,1.11,1.611,1.21,2.1
49,1.084,0.78,1.46,2.134,1.57,2.86,0.838,0.62,1.09,1.608,1.2,2.1
50,1.109,0.8,1.5,2.021,1.47,2.72,0.894,0.66,1.17,1.598,1.2,2.08
51,0.994,0.71,1.34,1.729,1.25,2.33,0.889,0.65,1.17,1.626,1.2,2.14
52,0.904,0.64,1.22,1.6,1.13,2.19,0.864,0.63,1.15,1.648,1.2,2.2
53,0.838,0.57,1.17,1.457,1,2.03,0.858,0.61,1.16,1.657,1.16,2.28
