Region,State,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eastern,CT,NA,2.58,2.71,2.4,2.59,2.36,2.36,2.41,1.9,1.93,1.62,1.72,1.71,1.71,1.91,1.66,1.55,1.58,1.65,1.43,1.67,1.31,1.33,1.36,1.25,1.12,1.19,1.26,1.26,1.11,1.08,1.16,1.03,0.96,0.89,0.9,0.87,0.84,0.79,0.8,0.81,0.77,0.75,0.84,0.82,0.73,0.75,0.67,0.7
Eastern,DE,1.08,0.87,1.14,0.72,0.9,1.08,0.94,1.69,0.5,0.67,0.49,0.54,0.68,0.64,0.62,0.97,0.49,0.51,0.53,0.51,0.5,0.48,0.6,0.32,0.32,0.41,0.4,0.38,0.41,0.39,0.58,0.3,0.42,0.28,0.3,0.27,0.28,0.27,0.22,0.22,0.22,0.22,0.21,0.2,NA,0.18,0.17,NA,0.16
Eastern,ME,6.23,6.17,6.82,6.21,6.14,6.33,6.56,6.82,6.39,5.35,5.25,5.8,5.02,5.75,4.46,4.94,4.98,5.11,5.44,5.76,5.26,5.47,4.38,4.97,4.27,4.6,4.27,4.36,3.72,4,3.97,4.32,4.47,3.98,3.7,4,4.1,4.18,4.06,3.73,3.76,3.65,3.91,3.98,3.94,3.86,3.68,3.32,3.76
Eastern,MD,1.86,1.85,1.73,1.68,1.6,1.55,1.49,1.44,1.32,1.3,1.26,1.21,1.21,1.15,1.09,1.01,0.99,0.95,0.89,0.86,0.83,0.81,0.77,0.74,0.69,0.69,0.66,0.63,0.62,0.58,0.54,0.52,0.52,0.52,0.47,0.46,0.44,0.42,0.42,0.39,0.38,0.36,0.35,0.33,0.32,0.31,0.3,0.28,0.28
Eastern,MA,NA,3.33,3.32,3.34,3.01,3.28,3.08,2.7,2.65,2.64,2.57,2.66,2.38,2.51,2.29,2.13,2.24,2.22,2.14,2.12,2.06,1.94,1.9,1.88,1.76,1.72,1.71,1.68,1.63,1.64,1.58,1.75,1.59,1.49,1.49,1.45,1.5,1.36,1.36,1.26,1.33,1.29,1.22,1.18,1.11,1.09,1.08,1.13,1.07
Eastern,NB,NA,8.68,8.54,7.85,7.8,7.24,7.84,8.36,6.47,7.78,5.91,6.42,5.39,6.13,6.7,5.91,5.33,5.58,4.76,5.17,5.97,7.08,6.02,5.59,5.48,6.51,6.64,6.22,5.41,6.06,6.04,6.86,6.35,6.73,6.45,7.04,7.01,7.72,6.93,6.31,6.05,5.46,7.09,6.6,7.23,6.73,6.33,5.64,6.07
Eastern,NH,NA,3.96,4.22,3.75,4.26,3.57,4.08,3.86,3.82,3.84,3.75,3.63,3.98,3.86,3.33,3.42,3.26,3.5,4.35,3.72,3.65,3.58,3.37,3.65,3.35,3.35,3.37,3.72,3.62,3.57,3.54,3.76,3.3,3.39,3.35,3.62,3.63,3.6,3.38,2.88,2.94,3.42,3.4,3.05,3.37,3.29,3.37,3.02,3.16
Eastern,NJ,4.62,4.42,4.65,5.94,4.28,5.26,4.86,3.98,2.84,2.86,2.36,2.87,2.12,1.98,1.84,1.94,2.01,1.86,1.66,1.91,1.43,1.36,1.3,1.15,1.03,0.93,0.8,0.94,0.89,0.7,0.76,0.8,0.7,0.66,0.54,0.59,0.46,0.41,0.41,0.42,0.36,0.41,0.26,0.33,0.36,0.31,0.28,0.21,0.23
Eastern,NY,4.32,4.49,3.93,4.29,4.11,4.21,4.28,3.81,3.88,3.86,3.48,3.8,4.14,3.96,3.58,3.88,3.42,3.85,3.6,3.45,3.71,3.32,3.73,3.76,3.48,3.42,3.06,3.14,3.02,3.09,3.14,3.2,3.03,2.96,2.91,3.03,3.24,2.98,3.08,2.88,2.76,2.99,3.21,2.95,3.06,3.07,2.9,3.09,3.01
Eastern,NS,4.31,3.78,3.22,3.87,3.62,3.81,3.98,3.77,3.7,3.62,3.92,3.43,3.4,3.14,2.99,3.27,3.04,3.27,3.37,2.97,3.25,3.22,2.98,3.23,3.22,3.26,2.95,3.15,3.17,2.96,3.04,3.38,3.36,3.17,2.91,2.88,3.16,2.98,2.83,2.82,2.7,2.68,3.09,2.74,3.1,3.38,3.11,2.61,2.81
Eastern,PA,1.97,1.84,2.07,1.99,1.96,1.94,1.69,1.75,1.75,1.73,1.65,1.84,1.55,1.52,1.5,1.53,1.59,1.51,1.58,1.51,1.46,1.42,1.55,1.74,1.43,1.51,1.35,1.46,1.42,1.36,1.53,1.41,1.14,1.36,1.35,1.34,1.37,1.4,1.27,1.23,1.39,1.37,1.47,1.28,1.15,1.09,1.24,1.2,1.22
Eastern,PEI,NA,5.26,5.24,5.9,4.81,4.82,5.04,6.07,5.2,4.98,4.76,4.85,4.1,3.89,3.97,4.48,4.51,4.45,4.72,3.99,4.49,4.7,4.13,4.06,4,3.84,3.6,3.81,4.15,4,3.8,3.54,3.81,3.6,3.07,3.17,3.18,3.28,3.55,3.42,2.97,3.17,2.99,3.14,3.49,3.12,3.5,3.04,2.63
