Season,Pop,AF,AM,AU,IF,IM,IU,UF,UM,UU,DSS,HIP,AF_Banded,AM_Banded,Imm_Banded,Local_Banded,AF_Recovs,AM_Recovs,Imm_Recovs,Local_Recovs,stamps,hunters,newbands
2013,1,5436,3088,14,3512,3766,40,12,34,42,NA,361118,4,4,21,929,0,0,0,35,NA,NA,0.897435897
2012,1,5998,3526,10,3792,3912,68,34,64,58,NA,386048,38,45,62,963,0,0,0,25,NA,NA,0.982248521
2011,1,5728,3162,8,3678,3606,46,22,24,46,NA,463345,28,34,53,836,0,0,0,23,NA,NA,0.976190476
2010,1,5162,2974,28,3658,3650,52,12,36,46,NA,546802,7,4,20,908,0,0,0,14,NA,NA,0.854545455
2009,1,5206,2736,8,2768,2482,40,28,26,56,NA,350241,3,5,8,1031,0,0,0,30,NA,NA,0.819277108
2008,1,5048,2752,6,3358,3480,24,6,12,34,NA,348524,2,3,8,1031,0,0,0,27,NA,NA,0.971830986
2007,1,5472,3180,20,3402,3516,26,10,14,26,NA,428325,6,3,22,836,0,0,0,10,NA,NA,0.684782609
2006,1,5014,3078,6,3848,3614,32,18,30,24,NA,465113,2,3,7,1030,0,0,0,17,NA,NA,0.884210526
2005,1,4746,2858,4,3226,3126,52,2,12,52,NA,541908,3,5,5,963,0,0,0,19,NA,NA,0.908571429
2004,1,4194,2438,2,2636,2622,32,0,16,16,NA,469532,13,45,29,972,0,0,0,23,NA,NA,0.932291667
2003,1,4492,2244,2,2924,2718,6,4,4,0,NA,426908,4,4,11,986,0,0,0,41,NA,NA,0.816091954
2002,1,2880,1846,12,2242,2184,26,6,18,24,NA,389087,5,14,7,1144,0,0,0,24,NA,NA,0.578947368
2001,1,3900,2300,0,2620,2354,26,10,24,38,102682,460595,30,36,67,1357,0,2,3,26,745776,43424,0.23857868
2000,1,3798,2602,2,2232,2388,14,2,6,28,147555,585978,13,13,63,1288,2,1,4,17,746682,52272,0.791044776
1999,1,4136,2646,10,2216,2244,16,4,4,32,162540,630772,15,8,49,1525,1,0,1,28,733842,53466,0
1998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,178202,NA,13,26,43,1450,0,1,3,32,752280,57206,0
1997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,164398,NA,38,29,62,1582,3,0,1,23,695870,56815,0
1996,1,2156,1334,18,1292,1401,18,0,0,39,182826,NA,37,42,79,1289,3,1,2,30,684671,57787,0
1995,1,2562,1421,20,1702,1669,19,0,0,58,229263,NA,18,18,44,1425,4,0,1,23,635327,58615,0
1994,1,2413,1519,14,1756,1778,16,0,0,39,199810,NA,31,18,55,1441,1,1,2,24,570537,57013,0
1993,1,2834,1675,35,1971,2122,16,0,0,52,177114,NA,21,24,43,826,0,1,0,19,554396,55304,0
1992,1,2656,1645,28,2056,2214,9,0,0,66,208314,NA,17,10,39,868,0,0,2,14,550688,57828,0
1991,1,3053,2346,36,2487,2673,25,0,0,47,215608,NA,8,11,45,754,1,1,2,20,557960,62002,0
1990,1,2639,1683,27,2087,2058,24,0,0,133,226787,NA,3,10,18,879,0,0,0,21,534007,63740,0
1989,1,2456,1680,75,1760,1973,24,0,0,42,270307,NA,12,14,28,1106,0,0,0,27,508198,69705,0
1988,1,1258,805,16,923,962,4,0,0,22,221693,NA,8,10,32,886,0,0,0,27,623596,60393,0
1987,1,2492,1558,28,1848,2014,22,0,0,49,390656,NA,6,3,10,700,0,0,0,23,673764,82052,0
1986,1,1975,1286,27,1831,1975,28,0,0,86,335413,NA,13,6,14,486,1,0,1,6,651194,78344,0
1985,1,1725,1100,20,1906,1818,18,0,0,52,267300,NA,8,2,25,500,0,0,0,15,703159,72840,0
1984,1,1843,1303,9,1741,1810,9,0,0,75,322347,NA,15,17,94,489,2,1,5,12,686016,80237,0
1983,1,2106,1428,29,1797,1869,24,0,0,106,394051,NA,19,16,59,405,1,0,4,12,709923,78917,0
1982,1,2217,1444,24,1734,1911,24,0,0,85,329877,NA,20,26,140,465,8,3,22,22,724334,85047,0
1981,1,2330,1634,16,2221,2202,29,0,0,98,442820,NA,32,23,147,583,7,0,14,15,787236,90226,0
1980,1,2086,1587,53,2233,2418,30,0,0,86,641086,NA,60,61,548,395,21,8,36,10,808051,112260,0
1979,1,1886,1351,17,1599,1704,16,0,0,69,437426,NA,46,58,539,416,0,0,12,8,848856,103947,0
1978,1,2037,1413,32,1833,1771,22,0,0,112,571662,NA,42,69,711,426,2,2,16,5,872064,116590,0
1977,1,2273,1463,10,1815,1962,17,0,0,64,528708,NA,40,28,564,274,2,0,9,7,854924,115409,0
1976,1,2214,1562,8,1736,2081,15,0,0,20,500085,NA,25,25,331,439,2,0,11,9,916734,122443,0
1975,1,2798,1830,18,2037,2274,14,0,0,13,459678,NA,39,36,470,420,3,0,26,25,892017,126352,0
1974,1,2086,1431,30,1877,2063,17,0,0,17,399990,NA,104,103,1332,524,3,2,15,14,826911,114832,0
1973,1,2002,1231,28,2199,1934,28,0,0,67,325914,NA,119,82,1636,296,3,0,20,4,892862,93686,0
1972,1,1964,1210,38,1665,1719,22,0,0,45,340217,NA,60,82,797,316,3,1,17,11,1003218,104525,0
1971,1,1910,1086,25,1411,1361,17,0,0,78,340217,NA,61,59,462,407,0,1,8,11,1005265,99229,0
1970,1,1389,800,39,1390,1358,25,0,0,124,346125,NA,51,48,432,325,5,6,28,16,810588,107983,0
1969,1,1360,885,52,1129,1127,44,0,0,61,292740,NA,29,34,290,223,3,5,34,12,711745,83653,0
